Rotor,Weight,Team,Location,Obstruction,Time
Long,Unweighted,1,Side A,FALSE,2.82
Long,Unweighted,1,Side A,TRUE,3.15
Long,Unweighted,1,Side A,TRUE,3.66
Long,Unweighted,1,Side A,FALSE,3.68
Long,Unweighted,1,Side A,FALSE,3.74
Long,Unweighted,1,Side A,FALSE,3.89
Long,Unweighted,1,Side A,FALSE,4.16
Long,Unweighted,1,Side A,FALSE,4.28
Long,Unweighted,1,Side A,FALSE,4.55
Long,Unweighted,1,Side A,TRUE,4.63
Long,Unweighted,1,Side A,FALSE,4.69
Long,Unweighted,1,Side A,FALSE,5.05
Short,Weighted,2,Side A,FALSE,2.65
Short,Weighted,2,Side A,FALSE,2.65
Short,Weighted,2,Side A,FALSE,2.83
Short,Weighted,2,Side A,FALSE,2.84
Short,Weighted,2,Side A,FALSE,2.87
Short,Weighted,2,Side A,FALSE,2.99
Short,Weighted,2,Side A,TRUE,3
Short,Weighted,2,Side A,FALSE,3.03
Short,Weighted,2,Side A,FALSE,3.04
Short,Weighted,2,Side A,FALSE,3.04
Short,Weighted,2,Side A,FALSE,3.25
Short,Weighted,2,Side A,FALSE,3.26
Short,Weighted,2,Side A,FALSE,3.28
Short,Weighted,2,Side A,FALSE,3.32
Short,Weighted,2,Side A,FALSE,3.36
Short,Weighted,2,Side A,FALSE,3.41
Short,Weighted,2,Side A,FALSE,3.48
Short,Weighted,2,Side A,FALSE,3.49
Short,Weighted,2,Side A,FALSE,3.6
Short,Weighted,2,Side A,FALSE,3.63
Short,Weighted,2,Side A,FALSE,3.64
Short,Weighted,2,Side A,TRUE,3.82
Short,Weighted,2,Side A,FALSE,3.83
Short,Weighted,2,Side A,TRUE,4
Short,Weighted,2,Side A,TRUE,4
Short,Weighted,2,Side A,FALSE,4.47
Long,Weighted,3,Side A,FALSE,2.49
Long,Weighted,3,Side A,FALSE,2.93
Long,Weighted,3,Side A,FALSE,3.04
Long,Weighted,3,Side A,FALSE,3.29
Long,Weighted,3,Side A,FALSE,3.36
Long,Weighted,3,Side A,FALSE,3.36
Long,Weighted,3,Side A,FALSE,3.37
Long,Weighted,3,Side A,TRUE,3.4
Long,Weighted,3,Side A,FALSE,3.44
Long,Weighted,3,Side A,FALSE,3.44
Long,Weighted,3,Side A,FALSE,3.5
Long,Weighted,3,Side A,FALSE,3.51
Long,Weighted,3,Side A,FALSE,3.56
Long,Weighted,3,Side A,FALSE,3.61
Long,Weighted,3,Side A,FALSE,3.64
Long,Weighted,3,Side A,FALSE,3.72
Long,Weighted,3,Side A,FALSE,3.83
Long,Weighted,3,Side A,FALSE,3.86
Long,Weighted,3,Side A,FALSE,3.87
Long,Weighted,3,Side A,FALSE,4.01
Long,Weighted,3,Side A,FALSE,4.06
Long,Weighted,3,Side A,FALSE,4.16
Long,Weighted,3,Side A,FALSE,4.16
Long,Weighted,3,Side A,FALSE,4.23
Long,Weighted,3,Side A,FALSE,4.26
Long,Weighted,3,Side A,FALSE,4.32
Long,Weighted,3,Side A,FALSE,4.41
Long,Weighted,3,Side A,FALSE,4.41
Long,Weighted,3,Side A,FALSE,4.45
Long,Weighted,3,Side A,TRUE,4.47
Long,Weighted,3,Side A,TRUE,4.52
Long,Weighted,3,Side A,FALSE,4.52
Long,Weighted,3,Side A,FALSE,4.63
Long,Weighted,3,Side A,FALSE,4.9
Long,Unweighted,4,Side B,FALSE,2.83
Long,Unweighted,4,Side B,FALSE,3.11
Long,Unweighted,4,Side B,FALSE,3.41
Long,Unweighted,4,Side B,FALSE,4.05
Long,Unweighted,4,Side B,FALSE,4.08
Long,Unweighted,4,Side B,FALSE,4.15
Long,Unweighted,4,Side B,FALSE,4.25
Long,Unweighted,4,Side B,FALSE,4.4
Long,Unweighted,4,Side B,FALSE,4.48
Long,Unweighted,4,Side B,FALSE,4.5
Long,Unweighted,4,Side B,FALSE,4.51
Long,Unweighted,4,Side B,FALSE,4.55
Long,Unweighted,4,Side B,FALSE,4.56
Long,Unweighted,4,Side B,FALSE,4.77
Long,Unweighted,4,Side B,FALSE,4.78
Long,Unweighted,4,Side B,FALSE,4.83
Long,Unweighted,4,Side B,FALSE,4.91
Long,Unweighted,4,Side B,FALSE,4.95
Long,Unweighted,4,Side B,FALSE,4.98
Long,Unweighted,4,Side B,FALSE,5
Long,Unweighted,4,Side B,FALSE,5.03
Long,Unweighted,4,Side B,FALSE,5.14
Long,Unweighted,4,Side B,FALSE,5.14
Long,Unweighted,4,Side B,FALSE,5.21
Long,Unweighted,4,Side B,FALSE,5.23
Long,Unweighted,4,Side B,FALSE,5.3
Long,Unweighted,4,Side B,FALSE,5.34
Long,Unweighted,4,Side B,FALSE,5.41
Long,Unweighted,4,Side B,FALSE,5.41
Long,Unweighted,4,Side B,FALSE,5.47
Long,Unweighted,4,Side B,FALSE,5.54
Long,Unweighted,4,Side B,FALSE,5.67
Long,Unweighted,4,Side B,FALSE,5.93
Long,Unweighted,4,Side B,FALSE,7.3
Long,Unweighted,4,Side B,FALSE,7.63
Short,Unweighted,5,Side B,FALSE,3.3
Short,Unweighted,5,Side B,FALSE,3.47
Short,Unweighted,5,Side B,FALSE,3.62
Short,Unweighted,5,Side B,FALSE,3.82
Short,Unweighted,5,Side B,FALSE,3.88
Short,Unweighted,5,Side B,FALSE,3.94
Short,Unweighted,5,Side B,FALSE,3.96
Short,Unweighted,5,Side B,FALSE,4.01
Short,Unweighted,5,Side B,FALSE,4.07
Short,Unweighted,5,Side B,FALSE,4.1
Short,Unweighted,5,Side B,FALSE,4.16
Short,Unweighted,5,Side B,FALSE,4.22
Short,Unweighted,5,Side B,FALSE,4.4
Short,Unweighted,5,Side B,FALSE,4.42
Short,Unweighted,5,Side B,FALSE,4.44
Short,Unweighted,5,Side B,FALSE,4.48
Short,Unweighted,5,Side B,FALSE,4.5
Short,Unweighted,5,Side B,FALSE,4.52
Short,Unweighted,5,Side B,FALSE,4.53
Short,Unweighted,5,Side B,FALSE,4.54
Short,Unweighted,5,Side B,FALSE,4.56
Short,Unweighted,5,Side B,FALSE,4.58
Short,Unweighted,5,Side B,FALSE,4.67
Short,Unweighted,5,Side B,FALSE,4.69
Short,Unweighted,5,Side B,FALSE,4.79
Short,Unweighted,5,Side B,FALSE,4.87
Short,Unweighted,5,Side B,FALSE,4.87
Short,Unweighted,5,Side B,FALSE,4.89
Short,Unweighted,5,Side B,FALSE,5.04
Short,Unweighted,5,Side B,TRUE,5.07
Short,Unweighted,5,Side B,FALSE,5.1
Short,Unweighted,5,Side B,FALSE,5.15
Short,Unweighted,5,Side B,FALSE,5.2
Short,Unweighted,5,Side B,FALSE,5.25
Short,Unweighted,5,Side B,TRUE,5.59
